Species Name,C,O,N,S,MolWeight,Henry,"log10VpSIMPOL, 298K","log10VpSIMPOL, 400K",log10Vp_MC298K,log10Vp_MC400K,alkyl OH,aromatic OH,aldehyde,ketone,acid,ROOH,per acid,ester,alkyl ether,alicyclic ether,aromatic ether,peroxide,nitrate,nitro
C114OH,11,3,0,0,200.278,35087.7193,-6.884541473,-3.665127957,-5.984063825,-2.277714104,1,0,0,2,0,0,0,0,0,0,0,0,0,0
MALDIALCO2,4,3,0,0,99.065,5988023.952,-1.283864362,0.488402988,-3.543222252,-0.88669273,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MALDIALCO3,4,4,0,0,115.064,2358490.566,-2.466007443,-0.49057402,-4.819098618,-1.56720341,0,0,1,0,0,0,0,1,0,0,0,0,0,0
C7OHCO2PAN,8,8,1,0,247.159,127388535,-10.17515474,-5.986417272,-8.10621058,-3.401336161,1,0,1,1,0,0,0,1,1,0,0,0,1,0
C733CO,7,4,0,0,158.153,85470085470,-6.505787312,-3.466758919,-5.451718403,-1.9566917,1,0,1,2,0,0,0,0,0,0,0,0,0,0
NPROACEAO2,5,4,0,0,133.123,34965.03497,-2.168001791,-0.15829264,-4.984290024,-1.682302587,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NTMB1FUOOH,6,7,1,0,207.138,22172949,-7.240843305,-3.801681992,-6.642740083,-2.619717904,0,0,0,0,0,1,0,1,1,0,0,0,1,0
C4NO32M2O,5,4,1,0,148.138,44444.44444,-3.171608631,-0.710900865,-3.967978405,-1.188521642,0,0,0,0,0,0,0,0,1,0,0,0,1,0
OETLMUCO3H,9,5,0,0,200.19,35087719.3,-6.524826095,-3.205263945,-7.064244387,-2.826687429,0,0,1,0,0,0,1,0,0,1,0,0,0,0
CO23C4NO3,4,5,1,0,147.086,1883239.171,-4.61994533,-2.326136052,-4.371383266,-1.39205474,0,0,0,2,0,0,0,0,1,0,0,0,1,0
HOBUT2CO3,5,4,0,0,133.123,8403361.345,-3.646244985,-1.034187394,-4.984290024,-1.682302587,1,0,0,0,0,0,0,1,0,0,0,0,0,0
TM135MUCO2,9,6,0,0,217.197,42194092827,-7.812450673,-4.1822446,-8.154712973,-3.398395545,1,0,1,1,0,0,0,0,1,1,0,0,0,0
TM135MUCO3,9,5,0,0,199.182,54054054.05,-4.894587529,-2.520438999,-7.062052097,-2.824495138,0,0,0,1,0,0,0,1,0,1,0,0,0,0
LIMONIC,9,4,0,0,186.207,51020408.16,-9.111475305,-4.717151827,-6.070193615,-2.305939086,0,0,0,0,2,0,0,0,0,0,0,0,0,0
DNPETOLO,9,9,2,0,291.192,8.85E+12,-11.11352271,-6.939872196,-7.69341359,-3.226516866,2,0,0,0,0,0,0,0,0,0,0,1,0,2
OET1O,9,1,0,0,135.186,1103.752759,-2.647040332,-0.316567537,-3.875390868,-1.121921259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETBEAO,6,2,0,0,117.168,10214.5046,-1.410444834,0.535729742,-3.190168167,-0.743070256,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C44OOH,4,5,0,0,134.087,2277904328,-7.128186053,-3.233044711,-6.195323602,-2.299424475,0,0,1,0,1,1,0,0,0,0,0,0,0,0
METOLO,9,5,0,0,201.198,7518796.992,-6.890784774,-4.189296836,-7.066425667,-2.828868709,2,0,0,0,0,0,0,0,0,0,0,1,0,0
DMPHOOH,8,2,0,0,138.166,325.732899,-4.662816145,-1.566956499,-4.002160335,-1.191015553,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CO1H63NO3,6,5,1,0,177.156,48076923.08,-7.099202421,-3.31242464,-5.106880925,-1.805636858,1,0,1,0,0,0,0,0,1,0,0,0,1,0
CO2C54O2,5,3,0,0,117.124,123609.3943,-1.922320121,-0.129410538,-3.813655046,-1.059915008,0,0,0,1,0,0,0,0,1,0,0,0,0,0
BZEMUCCO,6,5,0,0,158.109,1865671642,-7.153108501,-3.769605262,-6.376224833,-2.426568652,1,0,2,1,0,0,0,0,0,1,0,0,0,0
DIETETO2,4,3,0,0,105.113,7092.198582,-1.26644672,0.606414069,-3.568958439,-0.912428917,0,0,0,0,0,0,0,0,2,0,0,0,0,0
C52OOH,5,3,0,0,120.148,1290322.581,-4.904463842,-1.590553975,-3.824725696,-1.070985658,1,0,0,0,0,1,0,0,0,0,0,0,0,0
C73O,7,4,0,0,157.145,36363636.36,-3.939241058,-2.100284677,-5.448941536,-1.953914833,0,0,0,3,0,0,0,0,0,0,0,0,0,0
C825O2,8,5,0,0,189.187,15822784810,-8.063345316,-3.945426231,-6.805604287,-2.683146427,1,0,0,0,1,0,0,0,1,0,0,0,0,0
C134O2,13,7,0,0,287.288,1.13E+17,-10.31181068,-6.634451948,-10.24447664,-4.520366858,1,0,0,4,0,0,0,0,1,0,0,0,0,0
C65OH4O2,6,3,0,0,133.167,970873.7864,-3.593862163,-0.839389938,-4.122755767,-1.244446205,1,0,0,0,0,0,0,0,1,0,0,0,0,0
CO1M22CO3H,5,4,0,0,132.115,444444.4444,-4.029527633,-1.293987566,-4.980989057,-1.67900162,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ALCOCH2OOH,3,4,0,0,104.061,5649717.514,-4.127926011,-1.537069416,-4.772490003,-1.522048791,0,0,1,1,0,1,0,0,0,0,0,0,0,0
SBUACAOOH,6,4,0,0,148.158,26315.78947,-4.327775718,-1.479365929,-5.201884257,-1.815757828,0,0,0,0,0,1,0,1,0,0,0,0,0,0
NO3CH2CO3,2,6,1,0,136.039,267379.6791,-3.07999334,-0.835013995,-4.489797581,-1.435573826,0,0,0,0,0,0,0,1,1,0,0,0,1,0
C610O,6,3,0,0,131.151,6451612.903,-3.82514944,-1.290259919,-4.116130757,-1.237821195,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MVKOHANO3,4,6,1,0,165.101,232.0185615,-8.050318577,-4.126280506,-5.167063854,-1.821179749,2,0,0,1,0,0,0,0,1,0,0,0,1,0
C51NO32O2,5,5,1,0,164.137,17513.13485,-3.876782766,-1.210125791,-4.742440642,-1.604088821,0,0,0,0,0,0,0,0,2,0,0,0,1,0
NC72O2,7,8,1,0,232.124,5.71E+13,-7.55748278,-4.921825665,-7.753800863,-3.208800909,0,0,0,3,0,0,0,0,2,0,0,0,1,0
M3HEX,7,0,0,0,100.205,0.000440529,-1.129856824,0.750000041,-2.595348543,-0.407321804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSTYRENO2,8,5,1,0,198.154,507614.2132,-5.818552398,-2.561647996,-5.834452379,-2.199388308,0,0,0,0,0,0,0,0,2,0,0,0,1,0
MECOFORMO,3,4,0,0,103.053,131.4060447,-0.613655408,0.910841539,-4.768262647,-1.517821435,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C825OH,8,4,0,0,174.196,66666.66667,-9.54158851,-4.821320985,-5.752930662,-2.130432723,2,0,0,0,1,0,0,0,0,0,0,0,0,0
C134OH,13,6,0,0,272.297,4.76E+11,-11.79005387,-7.510346703,-9.258102007,-4.007538341,2,0,0,4,0,0,0,0,0,0,0,0,0,0
MEK2OOC,4,3,0,0,102.089,NaN,-1.729021274,-0.295325892,-3.556280957,-0.899751436,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MEK2OOA,4,3,0,0,102.089,NaN,-1.729021274,-0.295325892,-3.556280957,-0.899751436,0,0,0,2,0,0,0,0,0,0,0,0,0,0
C5CO14CO2,5,3,0,0,113.092,8196721.311,-1.325321562,0.194802923,-3.798441035,-1.044700996,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C8BCNO3,8,3,1,0,171.196,3.571428571,-4.511797596,-2.440282452,-4.364000491,-1.420715286,0,0,0,0,0,0,0,0,1,0,0,0,1,0
MXYOLO2,8,6,0,0,203.17,3952569170,-7.171372784,-4.403567136,-7.944704445,-3.277389833,2,0,0,0,0,0,0,0,1,0,0,1,0,0
DMK2OH,6,4,0,0,146.142,925.9259259,-6.945028181,-3.615474505,-5.195934197,-1.809807768,2,0,0,2,0,0,0,0,0,0,0,0,0,0
M22C43OOH,6,2,0,0,118.176,35.58718861,-3.145632637,-0.500388921,-3.193888437,-0.746790525,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C85CO3,9,4,0,0,185.199,588235.2941,-4.119777096,-2.040487029,-6.067836249,-2.30358172,0,0,0,1,0,0,0,1,0,0,0,0,0,0
C624CO2H,7,3,0,0,144.17,13774104.68,-6.933585057,-3.161246679,-4.449534049,-1.42750366,1,0,0,0,1,0,0,0,0,0,0,0,0,0
C7PAN3,7,8,1,0,233.132,4716981132,-8.012308196,-5.110071846,-7.755682707,-3.210682752,0,0,0,3,0,0,0,1,1,0,0,0,1,0
C7PAN2,7,6,1,0,207.182,56497.17514,-7.38634129,-3.634906807,-6.236332326,-2.41318191,1,0,0,0,0,0,0,1,1,0,0,0,1,0
C7PAN1,7,6,1,0,207.182,56497.17514,-7.38634129,-3.634906807,-6.236332326,-2.41318191,1,0,0,0,0,0,0,1,1,0,0,0,1,0
OTNNCATCO,9,10,2,0,307.191,5.24E+11,-11.8930778,-7.595394676,-8.452942638,-3.62401497,2,0,0,0,0,0,0,0,1,0,0,1,1,1
ACEETOHO,4,4,0,0,119.096,3215434.084,-3.221658861,-0.749232768,-4.834056326,-1.582161118,1,0,0,0,0,0,0,1,0,0,0,0,0,0
HOIBUTCO3,5,4,0,0,133.123,8403361.345,-3.646244985,-1.034187394,-4.984290024,-1.682302587,1,0,0,0,0,0,0,1,0,0,0,0,0,0
H3M2C4CO3,6,4,0,0,147.15,6329113.924,-4.07083111,-1.319142021,-5.198919417,-1.812792988,1,0,0,0,0,0,0,1,0,0,0,0,0,0
